,municipio,latitud,longitud,nombre,categoria,distancia,direccion
0,acebeda-la,41.0869583,-3.624399,La Posada de los Vientos,Restaurantes,36,"Calle Encerradero, 2, 28755 La Acebeda Comunidad de Madrid"
1,acebeda-la,41.0869583,-3.624399,El Acebo,Restaurantes,113,"Calle Puerto, 2, 28755 La Acebeda Comunidad de Madrid"
2,ajalvir,40.5342302,-3.4807818,Biblioteca Municipal de Ajalvir,Bibliotecas,286,"Avenida Juan Carlos I, 0, 28864 Ajalvir Madrid"
3,ajalvir,40.5342302,-3.4807818,Ayuntamiento de Ajalvir,Bibliotecas,307,"Fuente, 28, 28864 Ajalvir Comunidad de Madrid"
4,ajalvir,40.5342302,-3.4807818,Custodia y Archivo Documental,Bibliotecas,896,"Calle Andalucía, 2, 28864 Ajalvir Madrid"
5,ajalvir,40.5342302,-3.4807818,Ad Astra Global Facilities,Bibliotecas,1928,"Camino Ancho, s/n, 28814 Daganzo de Arriba Madrid"
6,ajalvir,40.5342302,-3.4807818,Bar Manolo,Restaurantes,58,"Plaza de la Villa, 5, 28864 Ajalvir Comunidad de Madrid"
7,ajalvir,40.5342302,-3.4807818,Jurassic Pan,Restaurantes,148,"Carretera de Daganzo, 17, 28864 Ajalvir Comunidad de Madrid"
8,ajalvir,40.5342302,-3.4807818,Bar Julio's,Restaurantes,257,"Calle Real, 1, 28864 Ajalvir Comunidad de Madrid"
9,ajalvir,40.5342302,-3.4807818,Restaurante el Timon,Restaurantes,344,"Soria, 1, 28864 Ajalvir Comunidad de Madrid"
10,ajalvir,40.5342302,-3.4807818,Martinez Villa Antonio,Restaurantes,404,"Calle Senderillo, 2, 28864 Ajalvir Madrid"
11,ajalvir,40.5342302,-3.4807818,Be Fast Pan & Pasteles,Restaurantes,505,"Calle Segovia, 6, 28864 Ajalvir Comunidad de Madrid"
12,ajalvir,40.5342302,-3.4807818,Risi,Restaurantes,1491,"Calle Severo Ochoa, 2, 28814 Daganzo de Arriba Comunidad de Madrid"
13,ajalvir,40.5342302,-3.4807818,Telepizza,Restaurantes,1491,"Severo Ochoa Polígono Industrial Gitesa, 1, 28814 Daganzo de Arriba Comunidad de Madrid"
14,ajalvir,40.5342302,-3.4807818,El 22,Restaurantes,1641,"Avenida Industrias, 2, 28814 Daganzo de Arriba Madrid"
15,ajalvir,40.5342302,-3.4807818,Zaino,Restaurantes,1658,"Calle Franklin, 5, 28814 Daganzo de Arriba Comunidad de Madrid"
16,ajalvir,40.5342302,-3.4807818,MADparapente,Gimnasios,1900,"Camino Ancho, 55, 28814 Daganzo de Arriba Comunidad de Madrid"
17,ajalvir,40.5342302,-3.4807818,Gladiator Racing,Discotecas,1613,"Calle de Ramon y Cajal, 25, 28814 Daganzo de Arriba Madrid"
18,alameda-del-valle,40.9177178,-3.8438216,Bar Rufino,Restaurantes,11,"Plaza Santa Marina, 1, 28749 Alameda del Valle Comunidad de Madrid"
19,alameda-del-valle,40.9177178,-3.8438216,Restaurante Taberna del Alamillo,Restaurantes,157,"Calle de la Taberna, 26 (calle del alamillo), 28749 Alameda del Valle Comunidad de Madrid"
20,alameda-del-valle,40.9177178,-3.8438216,Restaurante el Colorao,Restaurantes,219,"Travesía de Grande, 8, 28749 Alameda del Valle Comunidad de Madrid"
21,alameda-del-valle,40.9177178,-3.8438216,El Mirador de Alameda,Restaurantes,249,"Travesía de la Cochera, 10, 28749 Alameda del Valle Comunidad de Madrid"
22,alameda-del-valle,40.9177178,-3.8438216,Restaurante el boliche,Restaurantes,941,"Calle del Rio, 13, 28749 Alameda del Valle Comunidad de Madrid"
23,alameda-del-valle,40.9177178,-3.8438216,Casa Ormaza,Restaurantes,949,"Río, 3, 28749 Rascafría Madrid"
24,alameda-del-valle,40.9177178,-3.8438216,La Junquera,Restaurantes,954,"Calle Río, 3, 28749 Rascafría Comunidad de Madrid"
25,alamo-el,40.2307296,-3.9905893,Biblioteca Pública Municipal el Alamo,Bibliotecas,231,"Calle Escuelas, 13, 28607 El Alamo Comunidad de Madrid"
26,alamo-el,40.2307296,-3.9905893,Biblioteca Municipal Biblioteca Municipal,Bibliotecas,231,"Calle de las Escuelas, 13, 28607 El Alamo Madrid"
27,alamo-el,40.2307296,-3.9905893,Mesón la Sardina,Restaurantes,19,"Plaza Constitución, 11, 28607 El Álamo Comunidad de Madrid"
28,alamo-el,40.2307296,-3.9905893,El Capricho del Alamo,Restaurantes,26,"Calle de las Escuelas, 2, 28607 El Alamo Comunidad de Madrid"
29,alamo-el,40.2307296,-3.9905893,Meson de la Villa,Restaurantes,63,"Callejon Luis l Oliveros, 8, 28607 El Alamo Comunidad de Madrid"
30,alamo-el,40.2307296,-3.9905893,Buyong Ruan,Restaurantes,67,"Avenida Madrid, 8, 28607 El Alamo Madrid"
31,alamo-el,40.2307296,-3.9905893,La Posada del Sol,Restaurantes,71,"Calle de las Escuelas, 12, 28607 El Alamo Comunidad de Madrid"
32,alamo-el,40.2307296,-3.9905893,4 Rosas,Restaurantes,266,"Calle de las Escuelas, 36, 28607 El Álamo Comunidad de Madrid"
33,alamo-el,40.2307296,-3.9905893,La Bellota,Restaurantes,290,"Avenida Madrid, s/n, 28607 El Alamo Madrid"
34,alamo-el,40.2307296,-3.9905893,El Cenador de el Álamo,Restaurantes,348,"Calle Escuelas, 46, 28607 El Alamo Comunidad de Madrid"
35,alamo-el,40.2307296,-3.9905893,El Porton del Alamo,Restaurantes,803,"Carretera M-404, Navalcarnero-Chinchon, Km 6,5, 28607 El Alamo Madrid"
36,alamo-el,40.2307296,-3.9905893,Restaurante Indalo,Restaurantes,847,"Pº. de Aviles, 24, 28607 El Álamo Madrid"
37,alamo-el,40.2307296,-3.9905893,Gym Body Fashion Sport Club,Gimnasios,266,"Escuelas, 17, 28607 El Alamo Comunidad de Madrid"
